airline_sentiment,text
negative,hr cant wait anymore hr nothing frustrate usairways httptcobuwjtvuwkm
negative,ive call day cant get thru secret method use doesnt result hang
negative,policy change flight different date flight delay
neutral,check online tomorrow flight think get auto upgrade already get email say seat
neutral,last name pordes
neutral,tell reservation rebook
negative,arent twitter reservation connect people want reservation duh
positive,still air deice plane ill miss connect customer service helpfulim hoping catch next flight
neutral,try go nashville london idea would good time fly nashville right americanair
negative,usairways unacceptable holdtime really httptcouppabxrq
negative,push rebook number
negative,tell flight clt srq wait
negative,bohnjai lose bag phl baggage handler break open bag stole camera
neutral,empty first class seat flight check wouldnt automatically upgraded
negative,grade trip flight timeliness thumbsdown airplane cancel flightations thumbsdown grimacingface customer service thumbsdown poutingface flight attendant smilingfacewithsmilingeyes clappinghands
negative,thanks mean lot verbally cuss charge extra bag amp tell dont feel like deal unamusedface
negative,stick cae need reflight booking problem next flight possibly dm info
negative,useless amp rude employee ever philadelphia airport never fly facewithsteamfromnose
positive,work hard make sure thing flow smoothly keep positive
positive,board yet depart thanks response
positive,totally understand weather frustrate thanks
negative,tell get please
negative,sdfairport really need back home yesterday work today plane sit hour peeve
negative,gate agent work everyone resolve connect flight issue concern
negative,thats flight place original flight charlotte cancel flightled hr delay
positive,thx gate agt john pascucci find u flight clt pvd original one cancel flightled httptcoyiwlhqhzgp
negative,st reaccommodation delayed flight one amp gate agent still hasnt mumble word folks get anxious
positive,best follow please foldedhands foldedhands foldedhands victoryhand victoryhand victoryhand foldedhands foldedhands foldedhands
negative,please dont go check process americanair use mco absolute disaster
negative,phone talk real person
negative,week since take money leave u strand hour home rent car still help u
negative,give httptcoedgctbls
negative,ive hold one hour four minute reservation line possibly business way
negative,lack communication office customer amp yall never update ur system u guy establish mess
negative,u guy get much many customer fuck badly u
positive,americanair svllindia provide best logistics experience people india mumbai surat navimumbai
negative,last night charlotte nc im seriously debate never fly minute tarmac connection leaf
neutral,hi could protect u case still ground checked luggage still chance make original
negative,great still help
negative,forsythfactor hope weather delay help reroute lodge non stop way go
negative,didnt reroute bos jax via dca clt instead force overnight dca passengerslose
negative,appreciate hard work still give gthour dsearls
negative,luggage delay im look compensation since know charge forget
negative,americanair strand cold texas get sick overbooked flight give seat away gooutofbusiness
negative,bad experience ever unable help phone tell last min cabin crew unavailable flight never usairways
negative,usairways fispahani weather disruption cause crew run late flight sorry delay flight
negative,minute delay absurd feel free provide credit httptcoekejbv
negative,fuck
negative,even dime free ticket worsttraveldayever
negative,disappointment make arrangement amp sleep toddler zero assistance usair madden
neutral,thank
negative,thanks see agent unhelpful get voucher others unexplained reason
negative,min scheduled departure still sit terminal communication would lovely httptcopkaxunyfn
negative,day disaster rude employee help amp hotel fly amp fly alot dallasraisenow
negative,travel year old would appreciate hold end good business host u unanticipated layover
negative,miss flight connection due flight attendant delay yet voucher part fail
negative,course never tho thanks tweetin ur concern doin anythin fix happen ill choose wiser next time
negative,absolutely know would try blame weather deny u voucher phoenix totally false crew issue
negative,half inch snow charlotte overwhelming
neutral,phone look like global
negative,already file report personally airport however idea even tracking number
negative,already call option flight reimburse never unreliable business traveler
negative,save grace flight attendant dallas amaze wish would transfer delta would see
negative,link lead website wont open cell phone good job shock airline fold
negative,flight u get cancel flightled due lack flight crewi tell id reimburse hotel contact
negative,need apology unfortunate situation date ive land suppose land
negative,minute mean public transit home expensive cab promise doesnt make
negative,sister suppose leave go back al shes get nc kid neverflyusairways angryfacewithhorns
negative,really drunk someone stop serve
positive,best airway follow please foldedhands foldedhands foldedhands victoryhand victoryhand victoryhand foldedhands foldedhands foldedhands
negative,hr flight delay delay land even real life get plane wan na go home highheeledshoe highheeledshoe highheeledshoe heel click
negative,flt ground dont gate u dca happen
positive,shout redheaded gate agent flt dca chs tonight didnt get name great
negative,im sick living airport getittogether
negative,jfk baggage office actually run paper hotel voucher thislinehasntmovedforanhour
positive,dude name shaquille desk charlotte incredibly professional helpful v crazy angry people tonight
negative,really u give scotch rock control drunk would let sister change seat group
positive,awesome usair tysvm lt
positive,thank
positive,would lovely great people work organization
negative,jfk baggage office open help rebook u cancel flightled flight dca shameful
negative,hey let flight get gate hour late flight fate dozen kid board
neutral,
negative,flight update doesnt help wait min arrival wait plane leave gate write expressionlessface
positive,tyvm usair happy night lt
positive,thanks hectic everyone action dont represent company well imo
negative,husainhaqqani mr husain u shld protest well one ur party member rehman malik delay pia flight hour
negative,good hold hour xday since sun book way flt dividend mile agent send hold hell furious
negative,im sure dont question still remain find crew wont come flt tks
negative,impressed airline would feel lot well fly upgrade first class tomorrow
positive,glad home great people get home safely sad others didnt get back bc schedule problem
negative,update hr delay obviously isnt date havent board httptcollwjazioa
negative,noltnancy may bewhat issucks fail
negative,whole handling jokeboston logan one little old ladyone handle customer httptcodhrfuijyp
positive,appreciate response
neutral,erickofiejones long bill cycle
negative,hold wont let use companion voucher online httptcodphqrgkdoa
negative,one helpful never fly airline neveragain spreadtheword
negative,wont hour hold give couldnt borrow phone long hour
negative,ive sit charlotte airport hour wait crew maintenance neveragain
negative,delay flight time cancelled flighting angry rude worker provide helpful service
negative,daughter strand charlotte u airways cancel flightled flight tonight completely dissatisfy usairways
positive,thanks kevin team fish phl great service recovery tonight appreciate
negative,commitment excellence b praise get wrong city day late flight right one day late flight customerservice
negative,car service hotel food hotel cost bc cancelled flightlations fall customer last minute notification
negative,im amaze lack communication passenger
negative,tell csr would close acct couldnt care less
negative,beware barklays bank terrible cust service assist know go badly write bookin english
negative,call weather act god refuse help wife kid sympathy
negative,bad weather shouldnt mean bad service
negative,stick charlotte treat like nobody staff
negative,flight keep get delayed cancel flight information worst customer service ever
negative,reservation sync mean hold w customer service min want idea
negative,sits throne lie
negative,wheres bag call noon promise today would like update like website promise need bag
negative,flt tampa clt late flight gon na miss conn bos
negative,im flight finally air enough food fee customer movie entertainment hr flight
neutral,hope pilot good day
positive,thanks help leave message dca lose find finger cross find
negative,bad airline ive ever fly guy treat like garbage today
negative,water flight dca first time ive ever see happen executiveplatinummeansnothing iwantcoffee
neutral,eh happen think ill survive winkingface thanks
negative,voucher past trip delay think talk someone phone use true
negative,wont help cant believe wouldnt take full fare first class give away platinum member profit
negative,hour hold customer service without anyone answering ridiculous
neutral,im cust svc line charlotte nc agent well game
neutral,flight full
negative,delay three time finally board wait minute tell plan completely power
negative,hour hour four hour like joke
negative,usairways trip screw ive move meeting dinner im still nyc yet
negative,dont need check status flight plane door malfunction get together
negative,freak fact fix engine charlotte orlando longday
negative,tell record refund someone please help long day
negative,try speak multiple people reservation desk min hold waivethefee poorcustomerservice neptune
negative,put back hold hour completely unacceptable
negative,stop reposting autoresponse return flight home imateacher couldnt get rsw neptunewaivethefee notmyfault
negative,contd put pm flite tonite think shes bad customer service ever u need fix
positive,thank glad head home great people call center
positive,thx reply try get thru many time amp vmail people hang u talk techcontd
negative,flight book problem cld time select manage flight booking problem month email response help
positive,ha youre fun
negative,ur service shitty pilot never show wait hour another pilot suppose come didnt cancel flighted
neutral,long flight httptcobcwckwtnle
positive,fly high thanks
negative,ticket couldnt use bc unable get depart d rsw bc blizzard bos tell way use credit fine
negative,cant get reservations take look hour hold time reasonable industry
negative,hour hold oh wait less minute useless csr talk put back hold last minute
positive,thanks would well gate agent c charlotte boarding flight
negative,flt clt day suppose depart still crew schedulecontact pilot
negative,ask ice attendant snap dont ice cart min late flightr cup ice people row ahead
positive,thanks
negative,ive wait callback eight hour much longer
negative,half hour hold hope feel good steam pile shit americanair pay far much
negative,redeem flight call negotiate thank lord im heading home
negative,total b offer pay full first class airfare tell sell seat give seat others crap
negative,hold u min waste time amp dont appreciate wheresthecustomerserviceat httptcophiifnjit
negative,u gate open min wait great way finish hour delay arrival
negative,strike emilylyonss strongly suggest live tweet ordeal medium team appreciate update smilingfacewithsunglasses
negative,flight first hour wait deadhead crew deadhead crew take overhead bin space pay customer annoy
positive,weather mess south miss connection clt impressed though cust serv phone rep today
negative,really middle initial versus middle name else spend time computer issue
negative,disappointed wasnt allow change seat check early online flight tomorrow morning
negative,theyre reservation number none hungary phone work make difficult
negative,week refund ticket totally unacceptable fix ill put blast social medium tv
negative,yes pay pocket u help loose first class ticket coach want resolution comp
positive,frustrate daysno flight home change airline thank phl usairway employee amp unite help get back iah
neutral,satesq theres one flt phlcrw per day
negative,americanair staff member look like two head check website httptcohhctie
neutral,travel lax clt hts rebooked tomorrow due travel advisory
negative,flight brother rebooked able give info phone get pas club
positive,flight thanks
negative,flight delay hour deadhead crew let make pay customer wait great service usairways
negative,ur go charge wifi make sure work brutal dialup b time thing load theend goodday
negative,anyone work today anyone want pick phone
negative,ive hold minute there lack quality service nobody care hate shitty airline
negative,strand ernievigil phoenix w broken foot flight fd sunday sickcrew cancel flighted mechanic flight today
positive,best airway follow back please foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands cryingface cryingface cryingface cryingface cryingface cryingface cryingface cryingface foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands
negative,rude arrogant gate personnel uncalled unprofessional theworst
negative,wont waive fee flight cancel flightlation due neptune use credit fee couldnt reach destination bostonbbb notmyfault
positive,thank thanks accommodate
positive,amaze best follow please foldedhands foldedhands foldedhands cryingface cryingface cryingface foldedhands foldedhands foldedhands
negative,feel helpless tanpa airport talk someone flight delay time need help miss connection prob
negative,wont waive fee due neptune cant use credit wo pay fee couldnt get destination use tic waivethefee
negative,wonder low rated airline america shameful usairways
negative,even still business try call hour pathetic
positive,thanks
negative,wow airline joke absolutely horrendous customer service guy ashamed
negative,flight cancel flighted neptune could get destination notmyfault waivefee ripoff poorcustomerservice
positive,best airway follow please foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands
negative,waive fee time cancelled flightation waive future date usairways ripoff poorcustomerservice
negative,flight sit jfk delay hr employee load bag terrible
negative,rebooked handle unprofessionally cancel flightations happen disorganization uncalled
neutral,conf number fmjtyl delay chance get early flight fll phx
negative,call time last three day thats unacceptable im willing wait hold thats option
positive,amaze best follow please follow back foldedhands foldedhands foldedhands victoryhand winkingface
negative,ive hold hour need rebook flight please help
negative,u leave coat luggage anticipation cramped overhead bin
negative,im travel around world end year number good
negative,dont know ive try call confirmation call arent go thru let know
negative,get free wifi since flight cancel flightled
negative,rebooked suck big time crappy layover customer service subpar
positive,send thanks employee freddie phl admiral club east allow give day pas sibling stuck today
negative,do sadly flight clt get ind today head back tampa tmrw
negative,hold min listen shitty ad repeat credit make hate airline even delta well
negative,would way wether delay yet love charlotte ice storm good luck mad customer
negative,please staff flight approproately entire flight delay fa isnt shouldnt leave delta
negative,tooooo many cancelled flightations chain command hate
negative,cancel flightled flight refuse give voucher despite flight day usairways neveragain
negative,think stay w airline amp reschedule flight shouldnt absorb fee cost flight
positive,thats u guy choice
positive,thanks unamusedface
negative,im cool weather delay etc lie deceive passenger keep change reprehensible yousuck
negative,want get home wednesday joke hr cancelled flightlations delay enough
positive,drink voucher next flight winkwink
positive,nice touch use first name intimate ill file claim soon reimburse u airways day
negative,airline embarrass get bad weather isnt fault response couldnt bad
negative,update flight orf phl one gate
negative,yes work firefox everything finish purchase button turn gray never submit couple week
negative,hour late flightr flight cancel flightled get ta work internal communication skill
negative,horrible experience fly montego bay philadelphia check golf bag constant selling inflight
negative,tell gate open ord need wait min still wait min
negative,sign board please get another update
negative,still cant get real person phone book flight ready go jetblue since care usairwayssucks
positive,miss flight reflight booking problem x walk onto another flight phone still seat
negative,great job communicate passenger flight doesnt exist anymore httptcohlzahxkdsn
positive,thanks travis phl east checkin know baggage policy ski amp boot count teach mgr didnt know
negative,thx respond bag come mad rush towards end jetwaywhy put thru baggage claim
negative,americanair usaa flight arrive dca wait gate apx hr update
negative,agent reservation contact instead ask waste time sit phone hour
negative,believe keep customer happy especially mistake make part
neutral,would love combine aa usair accts unfortunately one middle name amp one middle initial wont allow change
negative,rep min say couldnt help transfer dividend mile customer service
positive,right amp away airplane sunwithface
negative,customer service stink try book flight hour keep get hung usairwayssucks
neutral,please please please let plane back gate get miss connection due clt closing
negative,weve flight sit tarmac dca wait gate use another gate
negative,hope flight delay flight attendant didnt come work nobackup
negative,make u miss flight first class cant even enter admiral club happy dm fix
negative,please dm flight delay go clt force miss connection lga pm
negative,hold hour know keep money
negative,charge change flight rip reason hand amp want reschedule flight july
negative,flight leave havent even begin board yet please update website asap
negative,jackkairys another send wrong lineoh kiosk werent work thanks
negative,also employee less helpful jackkairys check bag two leave desk completely
negative,phone number gate give doesnt work either customer service phone number
neutral,do
negative,jackkairys site clearly explain allow carry allow pit bos make sense
negative,never life deal poor customer service irresponsible staff lack care lgaiah day baggage nc
negative,thks tip seem like workaround rather customerfriendly solution easily accessible email
neutral,unfortunately think watch take bus rebooked late flightr flight planestrainsandautomobiles
neutral,suppose flight charlotte rdu pm yesterday flight schedule departure tonight
positive,thank much stressful day
negative,future good harsh weather preparedness plan much staff call everything snowball
negative,couldwanted call wouldnt use internet make reservation site wont work chrome several computer
neutral,darn first line upgrade wish understand policy httptcoxgpaayfdwt
negative,wait luggage flight delay
negative,please update website current flight status update customer service phone google thx
negative,flight book problem flight use credit previously cancel flightled flight cant get thru phone cant book online help please
positive,absolutely staff amaze
negative,horrendous pull shit together
positive,haha indeed great day
negative,want money back sit runway hour delay wait baggage begin load
negative,gate agent gon na tell flight time minute past departure time previous flight plane
negative,aforementioned pilot americanair sure want merge patron hit hoodlum httptcoccefapl
neutral,flight leave phone plane shuttle
positive,thank try say didnt anywhere else try
negative,americanair best u could doi might get refund within bill cycle month u guy ask another chance im do
negative,americanair day cancelled flightations drive airport different state spend gas flight
negative,whole team able put carry ons plane
positive,customer service fine
negative,speciifc email character limit complaint aaus customer complaint adopt twitter model
neutral,please hold see cant get first plane quick enough
negative,please hog next flight im wait bus get one plane run leave two min
positive,fabulous thank much look forward take sky
negative,r rebooked get conflict info abt baggage extra plane battery hand comped admiral club hr wait
negative,dont tell tell actually reach someone dont mind put hold wont even
negative,miss funeral take train back newark
neutral,baggage allowance flight glasgow u thanks
negative,americanair joke company today remind never book
positive,exceptional service flight ind phx
negative,nice take flight level consistency service flight attendant quality control
negative,travel pwm atl sunday flight get cancel flightled new flight cancel flightled get disconnect reflight booking problem
negative,believe seriousness whats acceptable time expense name wasnt fault
negative,cust serv rep unable change reservation system check unaware cancelled flight get word night
neutral,way could hold flight clt husband stick security check line flight schedule pm
negative,issue people r nice storm email wrong phone number auto rebooked flight non connect city
negative,miss reservation due cancel flightled flight make right give first class tomorrow make customer happy
negative,consolation bag somewhere else real impediment go different vacation
negative,tip get hotel airline wont get u even though tell wed make flight
neutral,leave son duke hat flight last night say mason back way locate thank advance
neutral,know traveler transfer americanair check aa elite get choice seat
negative,book flight yesterday didnt receive email confirmation dividend number isnt register please help
positive,crew keep safety top mind clt httptcoayosjhzmc
negative,amp seat together fee seem im take flight least wave
neutral,im research flight amp notice small issue wclass service site amp site could reservations help
negative,need someone management contact fly funeral wont make add pain want pay
negative,contaced eyewitness news ripoff cancel flight want pay
neutral,change without penalty call customer service
negative,call say yall busy call back late flightr terrible customer service
negative,charge flight cancel flightled unbelievable unheard
negative,completely rip u airway today never fly airline contact local news
negative,cant believe would refer number one seem get really need help asap
negative,hundred people line less half desk man clt help
negative,contact email customer complaint
negative,probably go miss connection charlotte drive home funeral
negative,flight jfk charlotte charlotte birmingham previous flight hsv cancel flightled
negative,still cricket customer service
neutral,flight fro orf phl
negative,excuse poor website flight book problem option yearly vacation fall ubetter smth
negative,phone line disconnect queue answer phone line simply disconnect call
negative,want bump seet first class two cancelled flightlations hr joke
negative,arrive plane im sit need take offwish someone would tell u holdup
negative,date back nov send back forth edreamsen disgrace
positive,hop voucher future flight optimistic
negative,didnt even leave airport send bag philadelphia
negative,thanks info try hr luck flight dep today need change tomorrow thursday
negative,try twice today hold min time thing cant live hold deal w customer serv failure
negative,warm weather hub mean mexico u cant go anywhere else since lose bag hope attempt rectify
negative,kidding oy
positive,thanks
negative,thank blow vacation couldnt get anywhere today make reservation also lose bag mine
negative,try talk dividend mile rep day hold hour day option
negative,still say time website btw
negative,customer service horrible
negative,expect something tell see agent rebook flight
negative,ability switch flight americanair tell bag
negative,disaster sit runway bring plane back gate smh
negative,havent weve line service desk hr spot
neutral,website board logan say time go security get gate
negative,get flight bos charlotte find cancel flightled get gate
positive,please give tara g pat back praise helpful phl member lounge
positive,thanks hope get destination
negative,well get email flight delayedthats right
negative,soon possible board plane st time im still start
negative,chairman phone number use
negative,americanair make spirit look like gem air travel havent handle winter storm well
positive,thanks reply hop everything clear charlotte monday
negative,take month
negative,file report atlanta bag charlotte nc hour late flightr still cant find luggage usairways
negative,suppose carry pittsburgh come boston carry
neutral,need contact asap furious
negative,cant even get hold wait speak someoneawesome
negative,almost hour coin understand high call volume unacceptable
negative,cancel flight sm response slow
negative,ive flight cancel flightled twice minute automated question phone go busy signal help
negative,great job today ruin people vacation thanks incompetent pilot staff miss flight
negative,service awful boston pay extra dollar suppose dissatisfied mad
negative,pm flight fll phl connection man however delay might miss go earlier
negative,hold gold reservation line hour flight cancel flightled try rebook
negative,choice pay another go airport hope treat well rep
negative,reservation hold hour hang upsmh confusedface
negative,americanair r u suppose change flight u cant get thru reservation onehouronhold
neutral,hows u look today
negative,would even consider continue point program receive perk continued bad customer service senseless
neutral,weve already make arrangement
negative,thanks get back find airline future
negative,would pay reactivate point useful certain flight arent even worth
negative,strand hour mia patrick casimir aa staff apologize great inconvenience unreal
negative,thanks say deny mile expire one week ago last drop plan avoid aa possible
negative,sorry late flight respond dm
positive,believe understand flight originally book sunday flight cancel flighted reschedule today
negative,aa employee rude unwilling help mile rotten cherry top dog shit sunday nocareforcustomers
negative,mold flight u filthyplane hopeidonotgetsick httptcozikuoxgnw
neutral,second touchdown madrid airport april avgeek httptcoywxrfngr
negative,sleep miami airport due mechanical issue give bonus mile try make right slapintheface
neutral,new time confirm may get cancel flightled travel kid need certain thx
negative,hr min cost flight change hrs ago bf drop call cancel flighted flight ask refund
negative,frustratingit pay get refund
neutral,dm locator code thanks
positive,thank
negative,sure hope fix usairways good luck service suck nexttimeiwillflysouthwest
negative,thanks fresh food cross country flight make connection close time eat tpadfwlax
neutral,flight get cancel flightled grk dfw lex tomorrow need rebooked
neutral,sort live chat feature uk right call would cost u alot
negative,plane make miss connection day thanks nothing
negative,purchase main cabin xt faus flight cancel flightled reschedule regular seat credit
neutral,disappoint flight book problem process addl fee sit together crowded flight impress far
positive,thanks
negative,thx respond cant watch min film wout cut prolonged prds time beyond frustrate
neutral,
negative,connect person without wait hour hold still havent able resolve problem
negative,r u serious min delay americanairlines aa ohio dallas miss connect flight httptcodnmsblzumr
negative,jump gun cancel flight flight couldve make snow cancelled flightlations ridiculous
positive,might look wife travel much could use membership
neutral,thank
neutral,happen combine top chef amp beauty san miguel de allende late flightst food blog httptcotrdrcre
positive,great thanks follow
positive,exactly ill fly aa dullesairport dallas airline trust
negative,doesnt address issue hold min speak agent
positive,get another flight thanks
neutral,u r horriblewent online cancel flight flightno buttonthatcalled cs ampwait time minsampput calledampit hungupnohelp
negative,submit case aa customer relation two week ago word ever since whats point even cr
negative,near gate mean sit plane almost hour yeah
positive,dont think help base behavior voucher cot seem like enough lol smilingfacewithopenmouth
negative,still wait flight get money back
negative,cancel flighted flight really dont need much trouble
negative,andrewwasila sorry uncomfortable andrew sma
neutral,hi please ticket award ticket status request thanks
positive,get back eventually rollercoaster get airport amp get speak someone thing get fixed quick
negative,thats extra hour travel time miss vacation time guy mess professional life
negative,check app since yesterday confirm upgrade amp carry get counter amp manager upgrade somebody else seat
negative,try desperately get boyfriend book u airways flight price help
positive,yes yes yesso glad head home
negative,dont worry ill send letter expect compensation fly twice week wyou guysfor
positive,thanks
positive,thanks keep updated hope make either connection killeen tx
negative,hold wcustomer service line minute phone agent min bf call drop
negative,try book rwrd tell couldnt buy tix usair aano choice didnt bother aadv svc
neutral,know suicide second leading cause death among teen
negative,narrowly make standbylots snag trip
neutral,pbpinftworth iphone gb plus
negative,order always hour flight delayed hour worse ever forget meal
positive,thanks much
positive,robertdwyer aa doesnt charge fee change award ticket long origin destination amp award type remain
negative,need flight tonight isnt anything else
positive,thank confirmation
negative,spent choppy feed whiplash ever americanairlinesfail iwantmymoneyback
neutral,ok call likely tmrw uk time question process get change charge reverse due bereavement
negative,please find bag singapore three day already without bag last known destination lax tag please help
negative,inconvenient convenient word
negative,response could make difference could make situation well trustget lose like bag
negative,delay way puerto rico delay way back new york disgraceful
negative,thats okyou may keep lose bag info longer trust bad way handle
negative,come want go home cant miss another day work stuckinmemphis texasisclosed
neutral,photo httptcovmquurzupw
negative,guy kill httptcoipgeicsm
positive,aww cool nice know still head one faves
neutral,whats status flight sju
neutral,would love dm twitter app say youre follow cant
negative,wasnt offer perk usairways ask tell thenewamerican
negative,good care customer anything happen take delta get back nyc screw americanair
negative,cost dollar flight cancel flightled couldnt even give food comp fly jetblue delta take
negative,say dumb thing beat around bush youre flight cancel flightled prepare compassion
neutral,yes io im run io
negative,bad company ever please fly repeat please fly credit youre delay
positive,continue win ive never miss flight nice little quiet gate change make possible sheesh
neutral,keep aa air crew chief cousin alex espinosa dfw httptcohxlnvzknp
negative,lose cat miss flight keep crate hr wouldbe hr trip youll never touch pet
negative,dont worry wont steal money
negative,continually get put hold painfully inexperienced people call platinum desk
negative,pretty lame response two page single spaced letter httptcoaceboelpa
negative,happen u mattersits response matter way drop ball aa
negative,look help usairways award travel book wife two boy seat assign
neutral,clarkey do truck biggie smilingfacewithopenmouthsmilingeyes
negative,itunesmusic put bad mood havent angry since spagnuolo coach ram
negative,cancel flight flight leave help find hotel stay sleep airport night
negative,flight vega dfw cancel flightled sunday monday whammie today
positive,airport snow removal method keep good work folk cessnas become httptcooumclrxdn
neutral,bird could fly south america example argentina
negative,flight jacksonville fl dallas show cancel flightled go rebooked another flight
positive,great thanks
positive,awesome thanks
negative,flight dallas jacksonville fl cancel flightled one notify whats go
negative,extremely upset baggage handler decide go luggage take belonging
negative,flight delay hour gf meal despite early request attendant seat fell leg badservice
negative,always rely fly usair american employee rude unhappy
negative,robocalls another cancel flightation dont accept change wont let connect agent wow
negative,say aa provide inflight wifi route china base federal law unite
negative,right two hour late flight seem due poor communication sound like annoy onplane staff
negative,im sure happen usairways status merger take place
negative,u help rebook passenger via twitterdm hold hour thanks
neutral,id like apologize gate agent flight aa aware zone nine precious gem
neutral,key point confusion whether make change even though initial flight book problem u airways metal
neutral,origindestinationdates go u airways connect flight aa direct flight award saver level
neutral,old fly ordpvg get upgraded
neutral,know little cold weather humor
positive,none lax flight dfw cancel flightled land fine completely arbitrary
negative,doesnt really answer question maybe provide detail give clarification
negative,delay bag friend lisa pafe get bag day costa rica issue update system
neutral,thanks
positive,aww thanks aadfw gma amso understand btw aa airline im able trvlove guy
positive,awesome photo thanks share grinningfacewithsmilingeyes
positive,new plane gogo easy power laptop iphone miss good boatstyle swivel cup holder dietcoke happyflier
negative,rampers gate b dfw wait marshal
negative,cancel flight flight theres way rebook website app wait minute hold fail cc delta
neutral,think plane retire md
positive,phone americanair customer service minute get issue resole guy awesome
positive,thanks info number call speak person go take hour type
neutral,kax premium hop flight well food tv know work service tnx
positive,beantownmatty sound like date
negative,im frustrate usairways attitude toward execplat member thenewamerican
negative,another day another grievance airline customer service
negative,youve misunderstand usairways would day flight change gate agent say
neutral,flight im way
negative,car accident way airport miss flight rno dca try resched line hr wait
neutral,thanks much
positive,hope enjoy winterweather bring warm coat glove maria yup new beanie httptcoaneqxzrbp
negative,lpalumbo weather sun
negative,fail flight rdu sit wait flight attendant logistics good
negative,idea wait time refund usairways tell day phone well past
positive,happy purchase upgrade avail next flight
negative,go report police due sexual assult sad didnt care
negative,th flight rebooked cancel flight woohoo go make laguardiaair
neutral,flight dfw lit way pdx tomorrow cancel flight help
negative,issue lack consideration announcement make late flight gate agent hour
negative,understand flight day go twice im extra med diaper baby
neutral,sure im run version
negative,could train flight attendant manner decency
positive,dfwairport together best part fly
negative,last year flight delay cancel flightled im do
negative,fyicall still get drop hour continuous dial attempt cancel flight online able help
negative,get guy respond tweet dm really sad feeling ignore
negative,souljacoy aa go fix utterly embarrass customer service wont even answer dang phone
negative,number even let wait next customer rep frustrating cant talk human
negative,want speak human obscene request
negative,response dm email yet customer service
negative,reconsider usairways acquisition flight aa gold flyer insult attendant hang jacket
positive,thank youyou
negative,need work harder disconnect intention reality passenger face
negative,long take get credit aa account travel jan amp one leg report ask credit response
positive,hopefully see bad one opportunity get good dwell good one encouragement word
negative,okay think wait long enough gate dfw
negative,minute wait silver elite line someone pick help
negative,say character plus dont follow
negative,would even consider continue point program receive perk continued bad customer service senseless
neutral,weve already make arrangement
negative,thanks get back find airline future
negative,would pay reactivate point useful certain flight arent even worth
negative,strand hour mia patrick casimir aa staff apologize great inconvenience unreal
negative,thanks say deny mile expire one week ago last drop plan avoid aa possible
negative,sorry late flight respond dm
negative,believe understand flight originally book sunday flight cancel flighted reschedule today
negative,aa employee rude unwilling help mile rotten cherry top dog shit sunday nocareforcustomers
negative,mold flight u filthyplane hopeidonotgetsick httptcozikuoxgnw
neutral,second touchdown madrid airport april avgeek httptcoywxrfngr
negative,sleep miami airport due mechanical issue give bonus mile try make right slapintheface
neutral,new time confirm may get cancel flightled travel kid need certain thx
negative,hr min cost flight change hrs ago bf drop call cancel flighted flight ask refund
negative,frustratingit pay get refund
neutral,dm locator code thanks
positive,thank
negative,sure hope fix usairways good luck service suck nexttimeiwillflysouthwest
negative,thanks fresh food cross country flight make connection close time eat tpadfwlax
neutral,flight get cancel flightled grk dfw lex tomorrow need rebooked
neutral,sort live chat feature uk right call would cost u alot
negative,plane make miss connection day thanks nothing
negative,purchase main cabin xt faus flight cancel flightled reschedule regular seat credit
neutral,disappoint flight book problem process addl fee sit together crowded flight impress far
positive,thanks
negative,thx respond cant watch min film wout cut prolonged prds time beyond frustrate
neutral,
negative,connect person without wait hour hold still havent able resolve problem
negative,r u serious min delay americanairlines aa ohio dallas miss connect flight httptcodnmsblzumr
negative,jump gun cancel flight flight couldve make snow cancelled flightlations ridiculous
neutral,might look wife travel much could use membership
positive,thank
neutral,happen combine top chef amp beauty san miguel de allende late flightst food blog httptcotrdrcre
positive,great thanks follow
positive,exactly ill fly aa dullesairport dallas airline trust
negative,doesnt address issue hold min speak agent
positive,get another flight thanks
neutral,u r horriblewent online cancel flight flightno buttonthatcalled cs ampwait time minsampput calledampit hungupnohelp
negative,submit case aa customer relation two week ago word ever since whats point even cr
negative,near gate mean sit plane almost hour yeah
neutral,dont think help base behavior voucher cot seem like enough lol smilingfacewithopenmouth
negative,still wait flight get money back
negative,cancel flighted flight really dont need much trouble
negative,andrewwasila sorry uncomfortable andrew sma
neutral,hi please ticket award ticket status request thanks
positive,get back eventually rollercoaster get airport amp get speak someone thing get fixed quick
negative,thats extra hour travel time miss vacation time guy mess professional life
negative,check app since yesterday confirm upgrade amp carry get counter amp manager upgrade somebody else seat
neutral,try desperately get boyfriend book u airways flight price help
positive,yes yes yesso glad head home
negative,dont worry ill send letter expect compensation fly twice week wyou guysfor
positive,thanks
positive,thanks keep updated hope make either connection killeen tx
negative,hold wcustomer service line minute phone agent min bf call drop
negative,try book rwrd tell couldnt buy tix usair aano choice didnt bother aadv svc
neutral,know suicide second leading cause death among teen
negative,narrowly make standbylots snag trip
